,word,state
7371,the,B-NP
7372,bank,I-NP
7373,Nil,Nil
7374,.,O
7375,Nil,Nil
7376,The,B-NP
7377,quake,I-NP
7378,knocked,B-VP
7379,The,B-NP
7380,Well,I-NP
7381,out,B-PRT
7382,for,B-PP
7383,six,B-NP
7384,hours,I-NP
7385,",",O
7386,but,O
7387,when,B-ADVP
7388,it,B-NP
7389,came,B-VP
7390,back,B-ADVP
7391,up,B-ADJP
7392,",",O
7393,it,B-NP
7394,teemed,B-VP
7395,with,B-PP
7396,emotional,B-NP
7397,first-hand,I-NP
7398,reports,I-NP
7399,.,O
7400,Nil,Nil
7401,The,B-NP
7402,move,I-NP
7403,to,B-VP
7404,halt,I-VP
7405,imports,B-NP
7406,Nil,Nil
7407,--,O
7408,announced,B-VP
7409,29,B-NP
7410,years,I-NP
7411,and,O
7412,11,B-NP
7413,months,I-NP
7414,to,B-PP
7415,the,B-NP
7416,day,I-NP
7417,after,B-SBAR
7418,Henry,B-NP
7419,Ford,I-NP
7420,II,I-NP
7421,declared,B-VP
7422,that,B-SBAR
7423,the,B-NP
7424,Edsel,I-NP
7425,division,I-NP
7426,and,O
7427,its,B-NP
7428,gawky,I-NP
7429,car,I-NP
7430,would,B-VP
7431,be,I-VP
7432,scrapped,I-VP
7433,--,O
7434,kills,B-VP
7435,the,B-NP
7436,four-year-old,I-NP
7437,Merkur,I-NP
7438,Nil,Nil
7439,brand,I-NP
7440,in,B-PP
7441,the,B-NP
7442,U.S.,I-NP
7443,market,I-NP
7444,.,O
7445,Nil,Nil
7446,Arkansas,B-NP
7447,Democrat,I-NP
7448,David,I-NP
7449,Pryor,I-NP
7450,spilled,B-VP
7451,his,B-NP
7452,guts,I-NP
7453,on,B-PP
7454,the,B-NP
7455,Senate,I-NP
7456,floor,I-NP
7457,the,B-NP
7458,other,I-NP
7459,day,I-NP
7460,after,B-SBAR
7461,he,B-NP
7462,'d,B-VP
7463,joined,I-VP
7464,the,B-NP
7465,Finance,I-NP
7466,Committee,I-NP
7467,'s,B-NP
7468,early-morning,I-NP
7469,pork-barrel,I-NP
7470,Nil,Nil
7471,revels,I-NP
7472,:,O
7473,``,O
7474,I,B-NP
7475,must,B-VP
7476,tell,I-VP
7477,you,B-NP
7478,...,O
7479,Nil,Nil
7480,Brands,B-NP
7481,made,B-VP
7482,by,B-PP
7483,the,B-NP
7484,Kraft,I-NP
7485,General,I-NP
7486,Foods,I-NP
7487,unit,I-NP
7488,of,B-PP
7489,Philip,B-NP
7490,Morris,I-NP
7491,Cos.,I-NP
7492,had,B-VP
7493,about,B-NP
7494,95,I-NP
7495,%,I-NP
7496,of,B-PP
7497,Nil,Nil
7498,the,B-NP
7499,market,I-NP
7500,share,I-NP
7501,.,O
7502,Nil,Nil
7503,A,B-NP
7504,one-time,I-NP
7505,noncontract,I-NP
7506,full-page,I-NP
7507,advertisement,I-NP
7508,in,B-PP
7509,The,B-NP
7510,Wall,I-NP
7511,Street,I-NP
7512,Journal,I-NP
7513,national,I-NP
7514,edition,I-NP
7515,will,B-VP
7516,cost,I-VP
7517,$,B-NP
7518,Nil,Nil
7519,"99,385",I-NP
7520,.,O
7521,Nil,Nil
7522,Nil,Nil
7523,After,B-PP
7524,the,B-NP
7525,vote,I-NP
7526,",",O
7527,Connecticut,B-NP
7528,Rep.,I-NP
7529,Nancy,I-NP
7530,Johnson,I-NP
7531,rounded,B-VP
7532,up,B-PRT
7533,nearly,B-NP
7534,as,I-NP
7535,Nil,Nil
7536,many,I-NP
7537,signatures,I-NP
7538,on,B-PP
7539,a,B-NP
7540,letter,I-NP
7541,to,B-PP
7542,Mr.,B-NP
7543,Bush,I-NP
7544,urging,B-VP
7545,him,B-NP
7546,not,O
7547,to,B-VP
7548,veto,I-VP
7549,.,O
7550,Nil,Nil
7551,``,O
7552,If,B-SBAR
7553,that,B-NP
7554,'s,B-VP
7555,true,B-ADJP
7556,",",O
7557,Orange,B-NP
7558,County,I-NP
7559,has,B-VP
7560,to,I-VP
7561,be,I-VP
7562,at,B-NP
7563,least,I-NP
7564,10,I-NP
7565,%,I-NP
7566,of,B-PP
7567,that,B-NP
7568,.,O
7569,'',O
7570,Nil,Nil
7571,Portfolio,B-NP
7572,B,I-NP
7573,:,O
7574,Two-income,B-NP
7575,couple,I-NP
7576,",",O
7577,age,B-NP
7578,45,I-NP
7579,Nil,Nil
7580,;,O
7581,$,B-NP
7582,"150,000",I-NP
7583,portfolio,I-NP
7584,.,O
7585,Nil,Nil
7586,The,B-NP
7587,company,I-NP
7588,said,B-VP
7589,per-share,B-NP
7590,earnings,I-NP
7591,were,B-VP
7592,slightly,I-VP
7593,reduced,I-VP
7594,by,B-PP
7595,the,B-NP
7596,sale,I-NP
7597,of,B-PP
7598,4.1,B-NP
7599,million,I-NP
7600,shares,I-NP
7601,of,B-PP
7602,treasury,B-NP
7603,stock,I-NP
7604,Nil,Nil
7605,to,B-PP
7606,the,B-NP
7607,company,I-NP
7608,'s,I-NP
7609,newly,B-ADJP
7610,formed,I-ADJP
7611,Employee,B-NP
7612,Stock,I-NP
7613,Ownership,I-NP
7614,Plans,I-NP
7615,.,O
7616,Nil,Nil
7617,Mr.,B-NP
7618,Gintel,I-NP
7619,has,B-VP
7620,filed,I-VP
7621,suit,B-NP
7622,in,B-PP
7623,Delaware,B-NP
7624,Chancery,I-NP
7625,Court,I-NP
7626,",",O
7627,seeking,B-VP
7628,to,I-VP
7629,block,I-VP
7630,Xtra,B-NP
7631,'s,B-NP
7632,Nil,Nil
7633,anti-takeover,I-NP
7634,tactic,I-NP
7635,.,O
7636,Nil,Nil
7637,UAL'S,B-NP
7638,STOCK,I-NP
7639,SKIDDED,B-VP
7640,an,B-NP
7641,additional,I-NP
7642,$,I-NP
7643,24.875,I-NP
7644,",",O
7645,to,B-PP
7646,$,B-NP
7647,198,I-NP
7648,",",O
7649,as,B-SBAR
7650,British,B-NP
7651,Airways,I-NP
7652,indicated,B-VP
7653,it,B-NP
7654,may,B-VP
7655,Nil,Nil
7656,balk,I-VP
7657,at,B-PP
7658,any,B-NP
7659,hastily,I-NP
7660,revised,I-NP
7661,version,I-NP
7662,of,B-PP
7663,the,B-NP
7664,aborted,I-NP
7665,$,I-NP
7666,6.79,I-NP
7667,billion,I-NP
7668,buy-out,I-NP
7669,of,B-PP
7670,United,B-NP
7671,Air,I-NP
7672,'s,B-NP
7673,parent,I-NP
7674,.,O
7675,Nil,Nil
7676,Eastern,B-NP
7677,said,B-VP
7678,it,B-NP
7679,is,B-VP
7680,ahead,B-ADJP
7681,of,B-PP
7682,schedule,B-NP
7683,in,B-PP
7684,resuming,B-VP
7685,Nil,Nil
7686,its,B-NP
7687,operations,I-NP
7688,after,B-PP
7689,filing,B-VP
7690,earlier,B-ADVP
7691,this,B-NP
7692,year,I-NP
7693,for,B-PP
7694,Chapter,B-NP
7695,11,I-NP
7696,bankruptcy,I-NP
7697,protection,I-NP
7698,",",O
7699,from,B-PP
7700,which,B-NP
7701,it,B-NP
7702,expects,B-VP
7703,to,I-VP
7704,emerge,I-VP
7705,early,B-NP
7706,next,I-NP
7707,year,I-NP
7708,.,O
7709,Nil,Nil
7710,B.A.T,B-NP
7711,aims,B-VP
7712,to,I-VP
7713,sell,I-VP
7714,such,B-NP
7715,U.S.,I-NP
7716,retailing,I-NP
7717,units,I-NP
7718,as,B-PP
7719,Marshall,B-NP
7720,Field,I-NP
7721,and,O
7722,Nil,Nil
7723,Saks,B-NP
7724,Fifth,I-NP
7725,Avenue,I-NP
7726,and,O
7727,float,B-VP
7728,its,B-NP
7729,big,I-NP
7730,paper,I-NP
7731,and,I-NP
7732,British,I-NP
7733,retailing,I-NP
7734,businesses,I-NP
7735,via,B-PP
7736,share,B-NP
7737,issues,I-NP
7738,to,B-PP
7739,existing,B-NP
7740,holders,I-NP
7741,.,O
7742,Nil,Nil
7743,Nil,Nil
7744,Ciba-Geigy,B-NP
7745,and,O
7746,Chiron,B-NP
7747,have,B-VP
7748,made,I-VP
7749,a,B-NP
7750,joint,I-NP
7751,bid,I-NP
7752,of,B-PP
7753,C$,B-NP
7754,866,I-NP
7755,million,I-NP
7756,for,B-PP
7757,Connaught,B-NP
7758,",",O
7759,and,O
7760,Institut,B-NP
7761,Merieux,I-NP
7762,S.A.,I-NP
7763,of,B-PP
7764,France,B-NP
7765,has,B-VP
7766,made,I-VP
7767,a,B-NP
7768,rival,I-NP
7769,bid,I-NP
7770,of,B-PP
7771,C$,B-NP
7772,942,I-NP
7773,Nil,Nil
7774,million,I-NP
7775,.,O
7776,Nil,Nil
7777,This,B-NP
7778,compares,B-VP
7779,with,B-PP
7780,a,B-NP
7781,1.6,I-NP
7782,%,I-NP
7783,rise,I-NP
7784,in,B-PP
7785,the,B-NP
7786,second,I-NP
7787,from,B-PP
7788,the,B-NP
7789,first,I-NP
7790,Nil,Nil
7791,quarter,I-NP
7792,and,O
7793,a,B-NP
7794,5.4,I-NP
7795,%,I-NP
7796,increase,I-NP
7797,from,B-PP
7798,the,B-NP
7799,second,I-NP
7800,quarter,I-NP
7801,of,B-PP
7802,1988,B-NP
7803,.,O
7804,Nil,Nil
7805,The,B-NP
7806,accord,I-NP
7807,with,B-PP
7808,Nil,Nil
7809,MIPS,B-NP
7810,calls,B-VP
7811,for,B-SBAR
7812,Control,B-NP
7813,Data,I-NP
7814,to,B-VP
7815,share,I-VP
7816,its,B-NP
7817,expertise,I-NP
7818,in,B-PP
7819,data,B-NP
7820,storage,I-NP
7821,",",O
7822,the,B-NP
7823,companies,I-NP
7824,said,B-VP
7825,.,O
7826,Nil,Nil
7827,Warner-Lambert,B-NP
7828,Co,I-NP
7829,.,O
7830,Nil,Nil
7831,The,B-NP
7832,one-hour,I-NP
7833,program,I-NP
7834,will,B-VP
7835,be,I-VP
7836,repeated,I-VP
7837,with,B-PP
7838,updates,B-NP
7839,throughout,B-PP
7840,Nil,Nil
7841,Saturday,B-NP
7842,mornings,I-NP
7843,.,O
7844,Nil,Nil
7845,A,B-NP
7846,previously,I-NP
7847,available,I-NP
7848,program,I-NP
7849,called,B-VP
7850,Network,B-NP
7851,Computing,I-NP
7852,System,I-NP
7853,",",O
7854,developed,B-VP
7855,by,B-PP
7856,Hewlett-Packard,B-NP
7857,'s,B-NP
7858,Apollo,I-NP
7859,division,I-NP
7860,Nil,Nil
7861,",",O
7862,for,B-PP
7863,instance,B-NP
7864,",",O
7865,takes,B-VP
7866,a,B-NP
7867,task,I-NP
7868,and,O
7869,splits,B-VP
7870,it,B-NP
7871,up,B-PRT
7872,into,B-PP
7873,parts,B-NP
7874,",",O
7875,divvying,B-VP
7876,up,B-PRT
7877,those,B-NP
7878,parts,I-NP
7879,to,B-PP
7880,several,B-NP
7881,computers,I-NP
7882,in,B-PP
7883,a,B-NP
7884,network,I-NP
7885,for,B-PP
7886,Nil,Nil
7887,simultaneous,B-NP
7888,processing,I-NP
7889,.,O
7890,Nil,Nil
7891,Ten,B-NP
7892,of,B-PP
7893,the,B-NP
7894,plant,I-NP
7895,'s,B-NP
7896,workers,I-NP
7897,were,B-VP
7898,injured,I-VP
7899,when,B-ADVP
7900,the,B-NP
7901,quake,I-NP
7902,hit,B-VP
7903,about,B-NP
7904,a,I-NP
7905,half-hour,I-NP
7906,into,B-PP
7907,the,B-NP
7908,afternoon,I-NP
7909,shift,I-NP
7910,;,O
7911,seven,B-NP
7912,were,B-VP
7913,hospitalized,I-VP
7914,.,O
7915,Nil,Nil
7916,Nil,Nil
7917,When,B-ADVP
7918,they,B-NP
7919,do,B-VP
7920,hit,I-VP
7921,",",O
7922,they,B-NP
7923,hit,B-VP
7924,fast,B-ADVP
7925,",",O
7926,'',O
7927,says,B-VP
7928,David,B-NP
7929,A.,I-NP
7930,Wyss,I-NP
7931,",",O
7932,chief,B-NP
7933,financial,I-NP
7934,economist,I-NP
7935,at,B-PP
7936,the,B-NP
7937,Data,I-NP
7938,Resources,I-NP
7939,division,I-NP
7940,of,B-PP
7941,McGraw-Hill,B-NP
7942,Inc,I-NP
7943,.,O
7944,Nil,Nil
7945,Our,B-NP
7946,heavy,I-NP
7947,users,I-NP
7948,consume,B-VP
7949,two,B-NP
7950,to,I-NP
7951,three,I-NP
7952,cans,I-NP
7953,of,B-PP
7954,soup,B-NP
7955,Nil,Nil
7956,a,B-NP
7957,week,I-NP
7958,",",O
7959,and,O
7960,we,B-NP
7961,'d,B-VP
7962,like,I-VP
7963,to,I-VP
7964,increase,I-VP
7965,that,B-NP
7966,Nil,Nil
7967,.,O
7968,'',O
7969,Nil,Nil
7970,In,B-PP
7971,1984,B-NP
7972,",",O
7973,the,B-NP
7974,Costa,I-NP
7975,Rican,I-NP
7976,government,I-NP
7977,requested,B-VP
7978,help,B-NP
7979,to,B-VP
7980,establish,I-VP
7981,a,B-NP
7982,radio,I-NP
7983,station,I-NP
7984,in,B-PP
7985,the,B-NP
7986,northern,I-NP
7987,part,I-NP
7988,of,B-PP
7989,the,B-NP
7990,country,I-NP
7991,",",O
7992,flooded,B-VP
7993,by,B-PP
7994,airwaves,B-NP
7995,of,B-PP
7996,Sandinista,B-NP
7997,propaganda,I-NP
7998,.,O
7999,Nil,Nil
8000,Nil,Nil
8001,But,O
8002,rail,B-NP
8003,",",I-NP
8004,air,I-NP
8005,and,I-NP
8006,ocean-shipping,I-NP
8007,links,I-NP
8008,to,B-PP
8009,the,B-NP
8010,area,I-NP
8011,escaped,B-VP
8012,Tuesday,B-NP
8013,'s,B-NP
8014,earthquake,I-NP
8015,with,B-PP
8016,only,B-NP
8017,minor,I-NP
8018,damage,I-NP
8019,Nil,Nil
8020,",",O
8021,and,O
8022,many,B-NP
8023,are,B-VP
8024,expected,I-VP
8025,to,I-VP
8026,be,I-VP
8027,operating,I-VP
8028,normally,B-ADVP
8029,today,B-NP
8030,",",O
8031,government,B-NP
8032,and,I-NP
8033,corporate,I-NP
8034,transport,I-NP
8035,officials,I-NP
8036,said,B-VP
8037,.,O
8038,Nil,Nil
8039,There,B-NP
8040,is,B-VP
8041,n't,O
8042,any,B-NP
8043,rush,I-NP
8044,on,B-PP
8045,the,B-NP
8046,part,I-NP
8047,of,B-PP
8048,investors,B-NP
8049,in,B-PP
8050,the,B-NP
8051,West,I-NP
8052,Nil,Nil
8053,to,B-VP
8054,buy,I-VP
8055,gold,B-NP
8056,",",O
8057,he,B-NP
8058,said,B-VP
8059,.,O
8060,Nil,Nil
8061,The,B-NP
8062,idea,I-NP
8063,was,B-VP
8064,to,B-VP
8065,``,O
8066,insure,B-VP
8067,'',O
8068,the,B-NP
8069,value,I-NP
8070,of,B-PP
8071,a,B-NP
8072,portfolio,I-NP
8073,by,B-PP
8074,selling,B-VP
8075,futures,B-NP
8076,when,B-ADVP
8077,stock,B-NP
8078,prices,I-NP
8079,Nil,Nil
8080,dropped,B-VP
8081,--,O
8082,eliminating,B-VP
8083,the,B-NP
8084,need,I-NP
8085,to,B-VP
8086,sell,I-VP
8087,the,B-NP
8088,stocks,I-NP
8089,themselves,I-NP
8090,.,O
8091,Nil,Nil
8092,Still,B-ADVP
8093,",",O
8094,AMR,B-NP
8095,'s,B-NP
8096,stumble,I-NP
8097,does,B-VP
8098,n't,I-VP
8099,bode,I-VP
8100,Nil,Nil
8101,well,B-ADVP
8102,for,B-PP
8103,the,B-NP
8104,rest,I-NP
8105,of,B-PP
8106,the,B-NP
8107,industry,I-NP
8108,.,O
8109,Nil,Nil
8110,He,B-NP
8111,favors,B-VP
8112,either,B-NP
8113,an,B-NP
8114,all-stock,I-NP
8115,fund,I-NP
8116,or,O
8117,a,B-NP
8118,balanced,I-NP
8119,fund,I-NP
8120,that,B-NP
8121,mixes,B-VP
8122,both,B-NP
8123,stocks,I-NP
8124,and,I-NP
8125,bonds,I-NP
8126,.,O
8127,Nil,Nil
8128,Nil,Nil
8129,The,B-NP
8130,hotels,I-NP
8131,and,I-NP
8132,management,I-NP
8133,interests,I-NP
8134,will,B-VP
8135,be,I-VP
8136,sold,I-VP
8137,at,B-PP
8138,an,B-NP
8139,auction,I-NP
8140,",",O
8141,said,B-VP
8142,John,B-NP
8143,Rothman,I-NP
8144,",",O
8145,president,B-NP
8146,and,O
8147,chief,B-NP
8148,executive,I-NP
8149,officer,I-NP
8150,of,B-PP
8151,the,B-NP
8152,trust,I-NP
8153,and,O
8154,a,B-NP
8155,director,I-NP
8156,of,B-PP
8157,the,B-NP
8158,corporation,I-NP
8159,.,O
8160,Nil,Nil
8161,Nil,Nil
8162,Digital,B-NP
8163,Equipment,I-NP
8164,'s,B-NP
8165,profit,I-NP
8166,fell,B-VP
8167,32,B-NP
8168,%,I-NP
8169,in,B-PP
8170,the,B-NP
8171,latest,I-NP
8172,quarter,I-NP
8173,",",O
8174,prompting,B-VP
8175,forecasts,B-NP
8176,of,B-PP
8177,weaker,B-NP
8178,results,I-NP
8179,ahead,B-ADVP
8180,Nil,Nil
8181,.,O
8182,Nil,Nil
8183,A,B-NP
8184,spokesman,I-NP
8185,for,B-PP
8186,National,B-NP
8187,Broadcasting,I-NP
8188,Co.,I-NP
8189,",",O
8190,a,B-NP
8191,unit,I-NP
8192,of,B-PP
8193,General,B-NP
8194,Electric,I-NP
8195,Co.,I-NP
8196,",",O
8197,said,B-VP
8198,the,B-NP
8199,network,I-NP
8200,was,B-VP
8201,``,O
8202,looking,B-VP
8203,Nil,Nil
8204,into,B-PP
8205,what,B-NP
8206,happened,B-VP
8207,.,O
8208,'',O
8209,Nil,Nil
8210,The,B-NP
8211,group,I-NP
8212,has,B-VP
8213,been,I-VP
8214,discussing,I-VP
8215,a,B-NP
8216,proposal,I-NP
8217,valued,B-VP
8218,in,B-PP
8219,a,B-NP
8220,range,I-NP
8221,of,B-PP
8222,$,B-NP
8223,225,I-NP
8224,to,I-NP
8225,$,I-NP
8226,240,I-NP
8227,a,B-NP
8228,share,I-NP
8229,",",O
8230,or,O
8231,$,B-NP
8232,Nil,Nil
8233,5.09,I-NP
8234,billion,I-NP
8235,to,I-NP
8236,$,I-NP
8237,5.42,I-NP
8238,billion,I-NP
8239,.,O
8240,Nil,Nil
8241,In,B-PP
8242,Texas,B-NP
8243,",",O
8244,abortion,B-NP
8245,opponents,I-NP
8246,want,B-VP
8247,to,I-VP
8248,pass,I-VP
8249,parental-consent,B-NP
8250,legislation,I-NP
8251,along,B-PP
8252,Nil,Nil
8253,with,B-PP
8254,a,B-NP
8255,statewide,I-NP
8256,ban,I-NP
8257,on,B-PP
8258,the,B-NP
8259,use,I-NP
8260,of,B-PP
8261,public,B-NP
8262,funds,I-NP
8263,",",I-NP
8264,personnel,I-NP
8265,and,I-NP
8266,facilities,I-NP
8267,for,B-PP
8268,abortion,B-NP
8269,",",O
8270,and,O
8271,Nil,Nil
8272,viability,B-NP
8273,tests,I-NP
8274,for,B-PP
8275,fetuses,B-NP
8276,19,B-NP
8277,weeks,I-NP
8278,and,O
8279,older,B-ADJP
8280,.,O
8281,Nil,Nil
8282,West,B-NP
8283,German,I-NP
8284,government,I-NP
8285,Nil,Nil
8286,officials,I-NP
8287,and,O
8288,Western,B-NP
8289,analysts,I-NP
8290,are,B-VP
8291,doubtful,B-ADJP
8292,.,O
8293,Nil,Nil
8294,Imprisoned,B-VP
8295,by,B-PP
8296,the,B-NP
8297,Nazis,I-NP
8298,during,B-PP
8299,World,B-NP
8300,War,I-NP
8301,II,I-NP
8302,for,B-PP
8303,his,B-NP
8304,political,I-NP
8305,beliefs,I-NP
8306,Nil,Nil
8307,",",O
8308,Mr.,B-NP
8309,Honecker,I-NP
8310,typified,B-VP
8311,the,B-NP
8312,postwar,I-NP
8313,generation,I-NP
8314,of,B-PP
8315,committed,B-NP
8316,Communist,I-NP
8317,leaders,I-NP
8318,in,B-PP
8319,Eastern,B-NP
8320,Europe,I-NP
8321,who,B-NP
8322,took,B-VP
8323,their,B-NP
8324,cues,I-NP
8325,from,B-PP
8326,Moscow,B-NP
8327,.,O
8328,Nil,Nil
8329,``,O
8330,The,B-NP
8331,computers,I-NP
8332,find,B-VP
8333,Nil,Nil
8334,all,B-NP
8335,the,I-NP
8336,key,I-NP
8337,words,I-NP
8338,they,B-NP
8339,can,B-VP
8340,",",O
8341,but,O
8342,the,B-NP
8343,editors,I-NP
8344,confirm,B-VP
8345,every,B-NP
8346,one,I-NP
8347,.,O
8348,Nil,Nil
8349,Experts,B-NP
8350,caution,B-VP
8351,that,B-SBAR
8352,it,B-NP
8353,is,B-VP
8354,far,B-ADVP
8355,too,I-ADVP
8356,soon,I-ADVP
8357,for,B-PP
8358,reliable,B-NP
8359,estimates,I-NP
8360,of,B-PP
8361,the,B-NP
8362,quake,I-NP
8363,'s,B-NP
8364,Nil,Nil
8365,total,I-NP
8366,damage,I-NP
8367,",",O
8368,but,O
8369,it,B-NP
8370,'s,B-VP
8371,clear,B-ADJP
8372,that,B-SBAR
8373,insurers,B-NP
8374,are,B-VP
8375,likely,B-ADJP
8376,to,B-VP
8377,pay,I-VP
8378,out,B-PRT
8379,enormous,B-NP
8380,sums,I-NP
8381,.,O
8382,Nil,Nil
8383,Brady,B-NP
8384,and,I-NP
8385,Breeden,I-NP
8386,work,B-VP
8387,well,B-ADVP
8388,together,B-ADVP
8389,Nil,Nil
8390,on,B-PP
8391,the,B-NP
8392,plunge,I-NP
8393,",",O
8394,despite,B-PP
8395,the,B-NP
8396,fact,I-NP
8397,that,B-SBAR
8398,the,B-NP
8399,Treasury,I-NP
8400,secretary,I-NP
8401,opposed,B-VP
8402,Breeden,B-NP
8403,'s,B-NP
8404,nomination,I-NP
8405,to,B-PP
8406,the,B-NP
8407,SEC,I-NP
8408,Nil,Nil
8409,post,I-NP
8410,.,O
8411,Nil,Nil
8412,To,B-VP
8413,make,I-VP
8414,skiing,B-NP
8415,more,B-ADJP
8416,convenient,I-ADJP
8417,for,B-PP
8418,time-strapped,B-NP
8419,visitors,I-NP
8420,",",O
8421,several,B-NP
8422,resorts,I-NP
8423,are,B-VP
8424,buying,I-VP
8425,or,I-VP
8426,starting,I-VP
8427,their,B-NP
8428,own,I-NP
8429,travel,I-NP
8430,agencies,I-NP
8431,.,O
8432,Nil,Nil
8433,Biking,B-NP
8434,groups,I-NP
8435,in,B-PP
8436,Montana,B-NP
8437,Nil,Nil
8438,",",I-NP
8439,Idaho,I-NP
8440,",",I-NP
8441,Michigan,I-NP
8442,and,I-NP
8443,Massachusetts,I-NP
8444,have,B-VP
8445,won,I-VP
8446,similar,B-NP
8447,concessions,I-NP
8448,",",O
8449,says,B-VP
8450,Tim,B-NP
8451,Blumenthal,I-NP
8452,",",O
8453,mountain,B-NP
8454,bike,I-NP
8455,editor,I-NP
8456,of,B-PP
8457,Bicycling,B-NP
8458,magazine,I-NP
8459,.,O
8460,Nil,Nil
8461,The,B-NP
8462,exhibition,I-NP
8463,by,B-PP
8464,the,B-NP
8465,U.S.-U.S.S.R.,I-NP
8466,Trade,I-NP
8467,and,I-NP
8468,Economic,I-NP
8469,Council,I-NP
8470,underscores,B-VP
8471,the,B-NP
8472,growing,I-NP
8473,U.S.,I-NP
8474,interest,I-NP
8475,in,B-PP
8476,that,B-NP
8477,nation,I-NP
8478,'s,B-NP
8479,market,I-NP
8480,",",O
8481,though,B-SBAR
8482,Nil,Nil
8483,trade,B-NP
8484,between,B-PP
8485,the,B-NP
8486,two,I-NP
8487,countries,I-NP
8488,is,B-VP
8489,a,B-NP
8490,minuscule,I-NP
8491,$,I-NP
8492,3,I-NP
8493,billion,I-NP
8494,.,O
8495,Nil,Nil
8496,Callable,B-ADJP
8497,from,B-PP
8498,March,B-NP
8499,31,I-NP
8500,",",I-NP
8501,1992,I-NP
8502,",",O
8503,at,B-PP
8504,107,B-NP
8505,3\/4,I-NP
8506,",",O
8507,declining,B-VP
8508,two,B-NP
8509,points,I-NP
8510,semi-annually,B-ADVP
8511,Nil,Nil
8512,to,B-PP
8513,par,B-NP
8514,.,O
8515,Nil,Nil
8516,``,O
8517,We,B-NP
8518,think,B-VP
8519,we,B-NP
8520,can,B-VP
8521,Nil,Nil
8522,reclaim,I-VP
8523,hundreds,B-NP
8524,of,I-NP
8525,millions,I-NP
8526,of,B-PP
8527,dollars,B-NP
8528,just,B-ADVP
8529,through,B-PP
8530,the,B-NP
8531,nonresident,I-NP
8532,project,I-NP
8533,",",O
8534,'',O
8535,Mr.,B-NP
8536,Hicks,I-NP
8537,declares,B-VP
8538,.,O
8539,Nil,Nil
8540,State,B-NP
8541,law,I-NP
8542,enforcers,I-NP
8543,can,B-VP
8544,barely,I-VP
8545,keep,I-VP
8546,up,B-PRT
8547,with,B-PP
8548,charity,B-NP
8549,scams,I-NP
8550,",",O
8551,and,O
8552,Nil,Nil
8553,reports,B-NP
8554,from,B-PP
8555,watchdog,B-NP
8556,groups,I-NP
8557,such,B-PP
8558,as,I-PP
8559,the,B-NP
8560,Council,I-NP
8561,of,B-PP
8562,Better,B-NP
8563,Business,I-NP
8564,Bureaus,I-NP
8565,are,B-VP
8566,not,O
8567,encouraging,B-ADJP
8568,.,O
8569,Nil,Nil
8570,Even,B-ADVP
8571,though,B-SBAR
8572,the,B-NP
8573,announcement,I-NP
8574,was,B-VP
8575,true,B-ADJP
8576,in,B-PP
8577,the,B-NP
8578,end,I-NP
8579,",",O
8580,Nil,Nil
8581,it,B-NP
8582,was,B-VP
8583,issued,I-VP
8584,without,B-PP
8585,the,B-NP
8586,senator,I-NP
8587,'s,B-NP
8588,permission,I-NP
8589,Nil,Nil
8590,.,O
8591,Nil,Nil
8592,Robert,B-NP
8593,J.,I-NP
8594,Regal,I-NP
8595,was,B-VP
8596,named,I-VP
8597,president,B-NP
8598,and,O
8599,chief,B-NP
8600,executive,I-NP
8601,officer,I-NP
8602,of,B-PP
8603,this,B-NP
8604,company,I-NP
8605,'s,B-NP
8606,Universal-Rundle,I-NP
8607,Corp.,I-NP
8608,unit,I-NP
8609,.,O
8610,Nil,Nil
8611,Nil,Nil
8612,The,B-NP
8613,mayor,I-NP
8614,said,B-VP
8615,the,B-NP
8616,Quayle,I-NP
8617,visit,I-NP
8618,was,B-VP
8619,``,O
8620,a,B-NP
8621,publicity,I-NP
8622,stunt,I-NP
8623,.,O
8624,'',O
8625,Nil,Nil
8626,Nil,Nil
8627,Sales,B-NP
8628,in,B-PP
8629,the,B-NP
8630,latest,I-NP
8631,period,I-NP
8632,were,B-VP
8633,$,B-NP
8634,1.25,I-NP
8635,billion,I-NP
8636,",",O
8637,down,B-ADVP
8638,from,B-PP
8639,$,B-NP
8640,1.36,I-NP
8641,billion,I-NP
8642,in,B-PP
8643,the,B-NP
8644,1988,I-NP
8645,quarter,I-NP
8646,.,O
8647,Nil,Nil
8648,And,O
8649,``,O
8650,shippers,B-NP
8651,are,B-VP
8652,getting,I-VP
8653,the,B-NP
8654,feeling,I-NP
8655,that,B-SBAR
8656,they,B-NP
8657,Nil,Nil
8658,have,B-VP
8659,played,I-VP
8660,one,B-NP
8661,trucker,I-NP
8662,off,B-ADVP
8663,against,B-PP
8664,another,B-NP
8665,as,B-NP
8666,much,I-NP
8667,as,B-SBAR
8668,they,B-NP
8669,can,B-VP
8670,",",O
8671,'',O
8672,he,B-NP
8673,said,B-VP
8674,.,O
8675,Nil,Nil
8676,Millicom,B-NP
8677,said,B-VP
8678,it,B-NP
8679,would,B-VP
8680,build,I-VP
8681,and,I-VP
8682,operate,I-VP
8683,the,B-NP
8684,system,I-NP
8685,in,B-PP
8686,Pakistan,B-NP
8687,with,B-PP
8688,Comvik,B-NP
8689,International,I-NP
8690,AB,I-NP
8691,",",O
8692,part,B-NP
8693,of,B-PP
8694,the,B-NP
8695,Kinnevik,I-NP
8696,group,I-NP
8697,of,B-PP
8698,Sweden,B-NP
8699,Nil,Nil
